transaction_amount,transaction_time,customer_age,fraudulent,merchant_category_Electronics,merchant_category_Fuel,merchant_category_Grocery,merchant_category_Restaurants,mode_of_payment_Debit Card,mode_of_payment_Net Banking,mode_of_payment_UPI
1875.8278936425756,18,25,0,0,0,0,0,1,0,0
4753.817960517531,7,24,0,0,1,0,0,0,1,0
3661.3097393479684,6,51,0,0,0,0,1,1,0,0
2995.299128564198,15,61,0,0,1,0,0,1,0,0
784.3131090099704,18,70,0,0,0,0,0,1,0,0
784.1926290793322,5,31,0,0,0,0,0,0,1,0
295.1276427801563,19,33,0,0,0,0,1,0,0,1
4331.549848145802,20,60,0,0,0,1,0,0,1,0
3007.569483657328,10,69,0,0,0,0,1,1,0,0
3541.8225260912473,4,26,0,0,1,0,0,0,0,0
107.81954900753323,15,27,0,0,0,1,0,0,1,0
4849.699711549161,6,34,0,0,1,0,0,0,0,0
4163.050990798107,4,29,0,0,0,0,1,0,1,0
1065.6338578379894,10,23,0,0,0,1,0,0,1,0
913.2157111994676,14,36,0,0,0,0,1,1,0,0
921.105526717902,2,60,0,1,0,0,0,0,0,1
1524.690003582891,4,58,0,0,0,0,0,0,0,1
2626.158376003028,22,70,0,0,0,1,0,1,0,0
2162.565368117368,20,46,0,0,0,0,0,0,1,0
1459.6895552892195,4,23,0,1,0,0,0,0,0,1
3061.205209138285,8,76,0,0,0,1,0,0,0,1
701.771833956949,14,42,0,0,0,0,0,0,0,1
1464.2625194334146,2,74,0,0,0,0,0,1,0,0
1834.9774072519901,5,41,0,0,0,1,0,0,0,0
2283.0695711640947,16,42,0,0,0,0,0,0,0,0
3926.953927158103,20,33,0,0,0,0,0,0,0,0
1002.3705418810068,7,69,0,0,0,1,0,0,0,0
2573.60101987599,20,33,0,0,0,0,0,0,0,0
2964.110771465902,10,23,0,0,0,0,0,0,0,1
237.01981153638863,5,54,0,0,1,0,0,0,0,1
3039.686535247685,7,38,0,0,1,0,0,0,1,0
856.7679978180212,9,21,0,1,0,0,0,0,0,1
329.9327069614712,23,51,0,0,1,0,0,1,0,0
4744.6832585803995,2,45,0,0,1,0,0,0,1,0
4828.332005207424,22,55,0,1,0,0,0,0,0,1
4042.9447538417235,13,58,0,0,0,0,0,0,1,0
1526.5457770209866,22,45,0,0,0,0,0,0,1,0
492.87220946188745,13,34,0,0,1,0,0,0,0,0
3422.7439674282236,9,31,0,1,0,0,0,0,1,0
2203.5617062293086,11,24,0,0,0,0,0,0,0,1
614.5809830496702,5,39,0,0,0,0,1,0,0,0
2478.4086660057947,11,68,0,0,0,1,0,0,0,1
176.7706629705159,22,18,0,0,0,1,0,0,0,0
4547.055408383517,13,46,0,0,0,1,0,0,0,1
1297.6060080920845,1,69,0,0,1,0,0,0,0,0
3314.29881034814,8,48,0,0,0,1,0,0,0,0
1561.9968250666077,9,47,0,0,0,1,0,1,0,0
2602.739765783165,16,74,0,0,0,0,1,0,0,1
2735.817845319682,16,32,0,0,0,0,0,0,1,0
928.3480053500076,2,35,0,0,0,0,1,0,0,0
4848.07521568397,18,52,0,0,1,0,0,0,0,1
3876.7884526887674,0,67,0,0,0,1,0,0,0,0
4697.797213113125,11,47,0,0,0,0,0,1,0,0
4474.662615386106,6,51,0,0,0,1,0,1,0,0
2991.51039416137,3,59,0,0,0,1,0,1,0,0
4609.761803940469,9,28,0,0,1,0,0,1,0,0
447.0200477493379,12,44,0,0,0,1,0,0,1,0
983.9343977836303,1,41,0,1,0,0,0,0,1,0
230.91030810813763,9,52,0,0,0,0,0,0,0,0
1630.0250021625054,20,56,0,0,0,0,0,0,0,1
1946.4430619989625,21,25,0,1,0,0,0,1,0,0
1360.3884137106102,3,68,0,0,1,0,0,1,0,0
4144.543858213887,17,35,0,0,0,1,0,0,1,0
1786.9828668344785,4,30,0,0,0,1,0,0,1,0
1408.267875888467,18,62,0,0,0,0,0,1,0,0
2715.766935375451,1,41,0,0,1,0,0,0,0,1
708.9165037489394,11,68,0,0,1,0,0,0,0,0
4011.973918866428,16,40,0,0,1,0,0,0,0,0
377.38046518045525,9,29,0,0,0,1,0,0,0,0
4934.500248319584,1,66,0,0,1,0,0,0,0,0
3862.3626226368037,5,47,0,1,0,0,0,0,0,1
997.5848292631912,7,48,0,0,0,0,1,0,0,1
32.58297503239398,18,45,0,0,1,0,0,0,0,1
4078.229835131897,10,39,0,0,0,0,1,0,1,0
3535.7524325188474,11,61,0,0,0,1,0,1,0,0
3646.3908043647316,8,45,0,0,1,0,0,0,0,1
3857.495381696299,1,30,0,0,0,0,0,0,0,0
374.8530354117814,7,42,0,0,0,1,0,0,0,1
1795.5363140786417,10,61,0,1,0,0,0,1,0,0
583.7659523280229,20,68,0,1,0,0,0,0,1,0
4316.201612248589,3,63,0,0,0,0,1,0,0,0
3118.374143503652,9,24,0,0,0,0,1,0,1,0
1657.8356341389826,20,62,0,0,0,0,0,0,0,1
322.47395967868806,19,23,0,0,0,0,0,0,0,0
1558.3566969697326,15,41,0,1,0,0,0,0,0,0
1629.2906935236015,7,36,0,0,1,0,0,0,0,1
